"";"Methode";"alpha";"beta";"sigma2"
"1";"EM";-0,0425847145285294;0,995471043080886;0,135874633250155
"2";"Boot";-0,145799522569304;1,06916992149786;0,185674894747858
"3";"Bayes";-0,00168465984160187;0,975043443105841;0,466597763020446
"4";"Moy";0,0574872630184191;0,622664577944638;0,0685653713862241
"5";"Reg. Lin.";-0,11370559744403;1,00597650368202;0,045013962828955
"6";"Reg. Lin. Sto.";-0,114049471209293;1,00286191950284;0,150568193073009
"7";"EM";0,0273812296666216;1,08178659344784;0,157342414699187
"8";"Boot";0,0458697085802918;1,10697377196915;0,215935086834245
"9";"Bayes";0,000380092740818324;0,970919113244344;0,504886288329425
"10";"Moy";0,272371088695418;0,726158197296027;0,0745260750181503
"11";"Reg. Lin.";0,0745229813379917;1,07394463819851;0,0519021134554651
"12";"Reg. Lin. Sto.";0,0726136403617481;1,07632055200134;0,181988245768737
"13";"EM";0,0559438737653319;0,914693671912246;0,184146397850603
"14";"Boot";0,116891667709928;0,881318777603061;0,248984402233977
"15";"Bayes";0,000742455751240071;0,971374164858226;0,527031388190678
"16";"Moy";0,202231622150496;0,61783548216476;0,0710287293672774
"17";"Reg. Lin.";0,146041774507626;0,910975378238138;0,0517099664507412
"18";"Reg. Lin. Sto.";0,139125347495292;0,91504667156517;0,211932104550702
"19";"EM";0,0064996206295193;1,05939797901652;0,124985596666369
"20";"Boot";0,0318099945635099;1,04547106615373;0,150814468069872
"21";"Bayes";0,00012533709269897;0,957470371480279;0,466592783830246
"22";"Moy";0,137660240595454;0,793659198438487;0,0709048358576096
"23";"Reg. Lin.";0,0170351627267473;1,05814341935974;0,0427241733621522
"24";"Reg. Lin. Sto.";0,0195594728966362;1,06069521278308;0,141849649237295
"25";"EM";-0,0166567546514233;0,981094201954365;0,150465574240144
"26";"Boot";-0,041618686042857;0,975046688297598;0,210520098572334
"27";"Bayes";-0,00278750732137978;0,97381249488774;0,485441428119805
"28";"Moy";-0,122779260012721;0,724622097914841;0,0663799676858137
"29";"Reg. Lin.";-0,0435133399956968;0,97877674198462;0,0468223004577648
"30";"Reg. Lin. Sto.";-0,0426035823884261;0,978868165615329;0,173755088649732
"31";"EM";-0,0680962511272524;1,15233609827573;0,125982247452964
"32";"Boot";-0,169911591003366;1,13138256207505;0,163313623779546
"33";"Bayes";0,000357902120933818;0,972677362213423;0,500175319224571
"34";"Moy";-0,248428971735006;0,663924726237618;0,0727199809008264
"35";"Reg. Lin.";-0,177701573306853;1,13993028830829;0,0416171094078868
"36";"Reg. Lin. Sto.";-0,176733277876038;1,13926289590285;0,131979324724131
"37";"EM";-0,0169801868254556;0,950334383349413;0,156329362833678
"38";"Boot";-0,0139715503133687;0,970472953453653;0,207360539771548
"39";"Bayes";-0,000274684446258069;0,963636164671419;0,491114444280289
"40";"Moy";0,0396763266541235;0,59648644477966;0,075132294647181
"41";"Reg. Lin.";-0,0441679540720591;0,954665191586981;0,0480988383722538
"42";"Reg. Lin. Sto.";-0,0442298114442074;0,953062941042098;0,180589524055444
"43";"EM";-0,0406919433562176;1,07350030875692;0,203794681592824
"44";"Boot";-0,0989583212880538;1,06753142890034;0,262750913698894
"45";"Bayes";-0,000895278496622535;0,973106448442915;0,588933842050987
